gstin,registration_date,state_code,segment,sector
29ABCDE1000Z0,2024-09-10,UP,micro,trading
29ABCDE1001Z1,2024-12-19,TN,micro,manufacturing
29ABCDE1002Z2,2023-05-14,BR,micro,logistics
29ABCDE1003Z3,2022-07-09,UP,medium,trading
29ABCDE1004Z4,2023-03-07,KA,micro,manufacturing
29ABCDE1005Z5,2025-03-16,WB,small,manufacturing
29ABCDE1006Z6,2025-08-07,UP,small,logistics
29ABCDE1007Z7,2025-09-20,UP,small,manufacturing
29ABCDE1008Z8,2022-11-25,KA,micro,services
29ABCDE1009Z9,2024-05-29,GJ,micro,services
29ABCDE1010Z0,2022-08-08,TN,medium,services
29ABCDE1011Z1,2024-10-27,WB,small,logistics
29ABCDE1012Z2,2023-08-27,DL,small,services
29ABCDE1013Z3,2024-10-31,BR,medium,logistics
29ABCDE1014Z4,2024-09-20,TN,small,manufacturing
29ABCDE1015Z5,2025-12-10,MH,micro,services
29ABCDE1016Z6,2023-12-10,GJ,small,trading
29ABCDE1017Z7,2023-05-11,KA,micro,trading
29ABCDE1018Z8,2024-02-03,BR,small,logistics
29ABCDE1019Z9,2022-08-25,DL,medium,logistics
29ABCDE1020Z0,2022-06-12,UP,micro,services
29ABCDE1021Z1,2024-01-23,TN,micro,trading
29ABCDE1022Z2,2025-04-11,WB,micro,trading
29ABCDE1023Z3,2024-02-13,BR,medium,trading
29ABCDE1024Z4,2025-02-07,UP,micro,trading
29ABCDE1025Z5,2022-09-15,MH,micro,trading
29ABCDE1026Z6,2023-10-14,GJ,micro,manufacturing
29ABCDE1027Z7,2024-06-08,KA,micro,manufacturing
29ABCDE1028Z8,2023-05-20,KA,micro,services
29ABCDE1029Z9,2022-01-21,UP,micro,trading
29ABCDE1030Z0,2022-04-17,UP,micro,logistics
29ABCDE1031Z1,2025-09-07,WB,micro,services
29ABCDE1032Z2,2024-05-27,MH,micro,manufacturing
29ABCDE1033Z3,2023-01-19,TN,micro,manufacturing
29ABCDE1034Z4,2023-01-11,GJ,micro,manufacturing
29ABCDE1035Z5,2022-02-27,MH,small,logistics
29ABCDE1036Z6,2025-10-01,KA,micro,manufacturing
29ABCDE1037Z7,2022-06-06,GJ,micro,trading
29ABCDE1038Z8,2025-01-06,MH,micro,logistics
29ABCDE1039Z9,2022-12-15,UP,micro,logistics
29ABCDE1040Z0,2023-05-02,TN,micro,manufacturing
29ABCDE1041Z1,2023-02-02,BR,micro,manufacturing
29ABCDE1042Z2,2025-04-10,UP,medium,manufacturing
29ABCDE1043Z3,2022-02-17,MH,micro,manufacturing
29ABCDE1044Z4,2023-05-26,BR,micro,manufacturing
29ABCDE1045Z5,2023-02-10,BR,micro,trading
29ABCDE1046Z6,2023-01-31,TN,micro,logistics
29ABCDE1047Z7,2022-10-07,MH,micro,trading
29ABCDE1048Z8,2025-08-16,UP,small,services
29ABCDE1049Z9,2023-07-04,KA,small,manufacturing
29ABCDE1050Z0,2023-08-30,MH,micro,services
29ABCDE1051Z1,2023-07-13,KA,micro,services
29ABCDE1052Z2,2025-11-22,UP,micro,services
29ABCDE1053Z3,2023-05-07,UP,micro,logistics
