monthly_revenue,net_profit,debt,emi,gst_compliance,past_disputes,business_age,collateral_type,default_label
70000,15636,79768,801,1,0,152,1,1
80000,12771,20772,398,1,0,151,1,0
160000,14164,45338,541,1,0,98,0,0
140000,36869,107536,2640,1,0,161,2,0
140000,28784,85953,1131,0,0,26,1,0
180000,15847,300632,6022,1,0,163,0,0
70000,11133,27440,483,1,0,15,0,0
110000,7925,86195,1750,1,0,165,1,0
90000,16318,33784,787,1,0,36,2,0
180000,14798,72746,1329,1,0,120,2,0
180000,9937,302708,5232,1,0,29,1,0
50000,12033,49297,1037,1,0,161,1,0
140000,12998,215513,4593,1,0,83,1,1
180000,44638,95213,2187,1,0,125,0,0
160000,13071,247969,3162,1,0,55,2,0
80000,11248,131990,2064,1,0,58,0,0
130000,23099,222019,2068,0,0,85,0,0
150000,14392,145164,2591,1,0,105,0,0
110000,17035,190198,3720,1,0,104,2,0
90000,8689,29391,381,1,1,114,2,1
200000,56660,385273,8660,0,0,55,1,0
110000,31065,47874,762,1,1,143,2,0
80000,7616,33658,315,1,0,123,2,0
70000,18608,83008,1515,1,0,31,2,0
60000,4363,93914,1278,1,0,81,0,0
150000,18061,63834,609,1,1,26,0,0
90000,27441,169134,2451,0,0,78,2,0
130000,28514,251128,2526,1,0,28,2,0
90000,8949,75937,1712,1,0,14,0,0
60000,7412,59394,655,1,0,144,0,0
190000,37786,300677,3248,0,0,11,1,1
150000,21012,69362,1704,1,1,61,0,0
180000,10594,53938,1286,1,1,64,1,1
70000,20109,85570,1878,1,0,59,0,1
110000,12028,47520,674,1,0,138,1,0
180000,21089,89112,799,1,0,81,1,0
70000,18049,73107,1141,1,0,176,2,0
150000,19339,249636,3454,1,0,77,2,0
100000,22674,59592,1157,1,0,45,2,0
130000,6236,92943,1673,1,0,114,2,0
170000,51619,141002,1842,1,0,24,0,0
170000,13423,84181,1559,1,0,162,2,0
110000,15328,185638,4309,1,1,109,0,1
130000,7724,240284,3830,1,0,144,2,0
140000,32205,128140,2238,1,0,122,1,0
180000,22672,62168,766,1,0,61,1,0
60000,5139,69168,823,1,0,120,1,1
110000,29049,56074,1290,1,0,91,1,0
130000,32197,123358,2032,1,0,100,1,0
160000,45113,158458,2731,1,0,170,0,0
70000,10538,48269,573,1,0,98,1,0
90000,5733,69274,1732,1,0,167,0,0
80000,4101,19029,371,1,0,180,1,0
140000,42509,60667,671,1,0,80,2,0
110000,23029,92984,1747,0,0,176,2,0
170000,22923,232997,3906,1,0,126,0,0
